No,Cement,Slag,FlyAsh,Water,SP,CoarseAggr,FineAggr,SLUMP,FLOW
1,0,82,105,210,9,904,680,23,62
2,163,149,0,180,12,843,746,0,20
3,162,148,191,0,16,840,743,1,20
4,162,148,190,179,19,0,741,3,21.5
5,154,112,144,220,10,0,658,20,64
6,147,0,115,0,9,860,829,23,55
7,152,139,178,168,18,944,695,0,20
8,145,0,227,0,6,750,853,14.5,58.5
9,152,0,237,204,6,785,0,15.5,51
10,304,0,140,214,6,895,722,19,51
11,145,0,136,208,10,751,883,24.5,61
12,148,109,0,193,7,0,902,23.75,58
13,142,130,167,215,6,735,836,25.5,67
14,0,0,0,234,6,959,691,17,54
15,374,0,0,190,7,1013,730,14.5,42.5
16,159,0,149,0,15,953,720,23.5,54.5
17,153,0,239,0,6,1002,684,12,35
18,295,106,136,0,11,750,766,25,68.5
19,310,0,143,168,0,914,804,20.5,48.2
20,296,97,0,219,9,932,0,15,48.5
21,305,100,0,196,10,959,705,0,49
22,310,0,143,218,10,0,804,13,46
23,148,0,0,183,11,972,757,0,20
24,146,178,0,192,0,961,749,18,46
25,142,130,167,174,11,0,785,0,20
26,140,128,164,183,12,871,775,0,53
27,308,111,142,217,10,783,686,25,70
28,295,106,136,208,6,871,0,26.5,70
29,298,107,0,201,6,878,655,16,26
30,314,0,161,207,6,0,757,21.5,64
31,321,0,164,190,5,870,774,24,60
